SEO AUDIT - NINJA TROPIC,,,,,,,,,,,,,
Generated:,2026-06-09,,,,,,,,,,,,
,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,
Total images audited,533,,,,,,,,,,,,
Images with alt text,533 / 533 (100%),,,,,,,,,,,,
Images in WebP format,499 / 533 (94%),,,,,,,,,,,,
Files renamed to SEO slugs,174,,,,,,,,,,,,
Pages with SEO title,64 / 64 (100%),,,,,,,,,,,,
Blog posts with meta description,80 / 82 (98%),,,,,,,,,,,,
Pages with meta description,0 / 64 — requires manual input,,,,,,,,,,,,
Non-WebP images (animated GIFs),27 — kept intentionally,,,,,,,,,,,,
,,,,,,,,,,,,,
SECTION 1 — PAGES & BLOG POSTS,,,,,,,,,,,,,
Type,ID,Title,URL,Publish Date,Has Featured Image,SEO Title,SEO Title Chars,Meta Description,Meta Desc Chars,Focus Keyword,SEO Score (%),SEO Status,Pending Actions
Blog Post,1,Hello world!,https://www.ninjatropic.com/2026/01/hello-world/,2026-01-17,No,Hello world!,12,,0,,30,Missing Meta Description,"No meta description, No focus keyword, No featured image"
Blog Post,150,El post de la Meli,https://www.ninjatropic.com/2026/01/el-post-de-la-meli/,2026-01-28,No,El post de la Meli,18,,0,,30,Missing Meta Description,"No meta description, No focus keyword, No featured image"
Blog Post,2644,Training Video Script Example (Snag Our Training Model),https://www.ninjatropic.com/2022/08/blog-training-video-script-example/,2022-08-11,Yes,Training Video Script Example (Snag Our Training Model),55,Master educational video script writing with our examples and tips. Elevate your training videos to engage and educate your audience more effectively.,150,,70,Missing Focus Keyword,No focus keyword
Blog Post,2642,"The Ultimate Guide for Hiring Freelance animators: Pros, cons and things to consider.",https://www.ninjatropic.com/2022/08/blog-the-ultimate-guide-for-hiring-freelance-animators/,2022-08-11,Yes,"The Ultimate Guide for Hiring Freelance animators: Pros, cons and things to consider.",85,Discover the ultimate guide for hiring freelance animators. Learn key tips to find and collaborate with top talent for your animation projects.,143,,70,Missing Focus Keyword,No focus keyword
Blog Post,2640,Training Video Cost: How Much Does an eLearning Video Cost to Produce?,https://www.ninjatropic.com/2022/08/blog-how-much-does-an-elearning-video-cost/,2022-08-11,Yes,Training Video Cost: How Much Does an eLearning Video Cost to Produce?,70,Need to find out how much an educational video production costs? Get the latest info about training video cost from the Ninja Tropic Blog.,138,,70,Missing Focus Keyword,No focus keyword
Blog Post,2638,Training Video Script Template for Corporate e-Learning,https://www.ninjatropic.com/2022/11/blog-training-video-script-template-for-corporate-elearning/,2022-11-08,Yes,Training Video Script Template for Corporate e-Learning,55,Craft the perfect training video script with our template for corporate eLearning. Elevate your content and engage learners effectively. Learn more now!,152,,70,Missing Focus Keyword,No focus keyword
